Var1,Freq,year,cum2019,ymd
2019-01-01,540,2019,540,2019-01-01
2019-01-02,610,2019,1150,2019-01-02
2019-01-03,666,2019,1816,2019-01-03
2019-01-04,614,2019,2430,2019-01-04
2019-01-05,498,2019,2928,2019-01-05
2019-01-06,503,2019,3431,2019-01-06
2019-01-07,681,2019,4112,2019-01-07
2019-01-08,679,2019,4791,2019-01-08
2019-01-09,635,2019,5426,2019-01-09
2019-01-10,635,2019,6061,2019-01-10
2019-01-11,589,2019,6650,2019-01-11
2019-01-12,515,2019,7165,2019-01-12
2019-01-13,602,2019,7767,2019-01-13
2019-01-14,573,2019,8340,2019-01-14
2019-01-15,594,2019,8934,2019-01-15
2019-01-16,553,2019,9487,2019-01-16
2019-01-17,652,2019,10139,2019-01-17
2019-01-18,596,2019,10735,2019-01-18
2019-01-19,564,2019,11299,2019-01-19
2019-01-20,513,2019,11812,2019-01-20
2019-01-21,595,2019,12407,2019-01-21
2019-01-22,648,2019,13055,2019-01-22
2019-01-23,663,2019,13718,2019-01-23
2019-01-24,647,2019,14365,2019-01-24
2019-01-25,613,2019,14978,2019-01-25
2019-01-26,619,2019,15597,2019-01-26
2019-01-27,573,2019,16170,2019-01-27
2019-01-28,645,2019,16815,2019-01-28
2019-01-29,704,2019,17519,2019-01-29
2019-01-30,612,2019,18131,2019-01-30
2019-01-31,647,2019,18778,2019-01-31
2019-02-01,600,2019,19378,2019-02-01
2019-02-02,467,2019,19845,2019-02-02
2019-02-03,508,2019,20353,2019-02-03
2019-02-04,649,2019,21002,2019-02-04
2019-02-05,584,2019,21586,2019-02-05
2019-02-06,609,2019,22195,2019-02-06
2019-02-07,601,2019,22796,2019-02-07
2019-02-08,568,2019,23364,2019-02-08
2019-02-09,598,2019,23962,2019-02-09
2019-02-10,550,2019,24512,2019-02-10
2019-02-11,656,2019,25168,2019-02-11
2019-02-12,618,2019,25786,2019-02-12
2019-02-13,672,2019,26458,2019-02-13
2019-02-14,546,2019,27004,2019-02-14
2019-02-15,628,2019,27632,2019-02-15
2019-02-16,523,2019,28155,2019-02-16
2019-02-17,488,2019,28643,2019-02-17
2019-02-18,635,2019,29278,2019-02-18
2019-02-19,594,2019,29872,2019-02-19
2019-02-20,617,2019,30489,2019-02-20
2019-02-21,645,2019,31134,2019-02-21
2019-02-22,570,2019,31704,2019-02-22
2019-02-23,554,2019,32258,2019-02-23
2019-02-24,528,2019,32786,2019-02-24
2019-02-25,630,2019,33416,2019-02-25
2019-02-26,681,2019,34097,2019-02-26
2019-02-27,630,2019,34727,2019-02-27
2019-02-28,576,2019,35303,2019-02-28
2019-03-01,617,2019,35920,2019-03-01
2019-03-02,537,2019,36457,2019-03-02
2019-03-03,596,2019,37053,2019-03-03
2019-03-04,656,2019,37709,2019-03-04
2019-03-05,647,2019,38356,2019-03-05
2019-03-06,622,2019,38978,2019-03-06
2019-03-07,664,2019,39642,2019-03-07
2019-03-08,591,2019,40233,2019-03-08
2019-03-09,563,2019,40796,2019-03-09
2019-03-10,453,2019,41249,2019-03-10
2019-03-11,659,2019,41908,2019-03-11
2019-03-12,616,2019,42524,2019-03-12
2019-03-13,573,2019,43097,2019-03-13
2019-03-14,639,2019,43736,2019-03-14
2019-03-15,600,2019,44336,2019-03-15
2019-03-16,564,2019,44900,2019-03-16
2019-03-17,539,2019,45439,2019-03-17
2019-03-18,643,2019,46082,2019-03-18
2019-03-19,636,2019,46718,2019-03-19
2019-03-20,687,2019,47405,2019-03-20
2019-03-21,693,2019,48098,2019-03-21
2019-03-22,671,2019,48769,2019-03-22
2019-03-23,539,2019,49308,2019-03-23
2019-03-24,514,2019,49822,2019-03-24
2019-03-25,671,2019,50493,2019-03-25
2019-03-26,662,2019,51155,2019-03-26
2019-03-27,680,2019,51835,2019-03-27
2019-03-28,634,2019,52469,2019-03-28
2019-03-29,619,2019,53088,2019-03-29
2019-03-30,563,2019,53651,2019-03-30
2019-03-31,622,2019,54273,2019-03-31
2019-04-01,736,2019,55009,2019-04-01
2019-04-02,658,2019,55667,2019-04-02
2019-04-03,606,2019,56273,2019-04-03
2019-04-04,602,2019,56875,2019-04-04
2019-04-05,617,2019,57492,2019-04-05
2019-04-06,525,2019,58017,2019-04-06
2019-04-07,523,2019,58540,2019-04-07
2019-04-08,656,2019,59196,2019-04-08
2019-04-09,651,2019,59847,2019-04-09
2019-04-10,673,2019,60520,2019-04-10
2019-04-11,623,2019,61143,2019-04-11
2019-04-12,641,2019,61784,2019-04-12
2019-04-13,585,2019,62369,2019-04-13
2019-04-14,565,2019,62934,2019-04-14
2019-04-15,638,2019,63572,2019-04-15
2019-04-16,599,2019,64171,2019-04-16
2019-04-17,606,2019,64777,2019-04-17
2019-04-18,614,2019,65391,2019-04-18
2019-04-19,558,2019,65949,2019-04-19
2019-04-20,527,2019,66476,2019-04-20
2019-04-21,438,2019,66914,2019-04-21
2019-04-22,709,2019,67623,2019-04-22
2019-04-23,636,2019,68259,2019-04-23
2019-04-24,666,2019,68925,2019-04-24
2019-04-25,646,2019,69571,2019-04-25
2019-04-26,568,2019,70139,2019-04-26
2019-04-27,509,2019,70648,2019-04-27
2019-04-28,586,2019,71234,2019-04-28
2019-04-29,691,2019,71925,2019-04-29
2019-04-30,633,2019,72558,2019-04-30
2019-05-01,703,2019,73261,2019-05-01
2019-05-02,650,2019,73911,2019-05-02
2019-05-03,604,2019,74515,2019-05-03
2019-05-04,509,2019,75024,2019-05-04
2019-05-05,514,2019,75538,2019-05-05
