Var1,Freq,year,cum2017,ymd
2017-05-25,706,2017,90830,2017-05-25
2017-05-26,688,2017,91518,2017-05-26
2017-05-27,572,2017,92090,2017-05-27
2017-05-28,599,2017,92689,2017-05-28
2017-05-29,550,2017,93239,2017-05-29
2017-05-30,669,2017,93908,2017-05-30
2017-05-31,712,2017,94620,2017-05-31
2017-06-01,717,2017,95337,2017-06-01
2017-06-02,669,2017,96006,2017-06-02
2017-06-03,567,2017,96573,2017-06-03
2017-06-04,530,2017,97103,2017-06-04
2017-06-05,745,2017,97848,2017-06-05
2017-06-06,709,2017,98557,2017-06-06
2017-06-07,663,2017,99220,2017-06-07
2017-06-08,652,2017,99872,2017-06-08
2017-06-09,590,2017,100462,2017-06-09
2017-06-10,535,2017,100997,2017-06-10
2017-06-11,516,2017,101513,2017-06-11
2017-06-12,670,2017,102183,2017-06-12
2017-06-13,695,2017,102878,2017-06-13
2017-06-14,644,2017,103522,2017-06-14
2017-06-15,678,2017,104200,2017-06-15
2017-06-16,625,2017,104825,2017-06-16
2017-06-17,506,2017,105331,2017-06-17
2017-06-18,584,2017,105915,2017-06-18
2017-06-19,645,2017,106560,2017-06-19
2017-06-20,677,2017,107237,2017-06-20
2017-06-21,667,2017,107904,2017-06-21
2017-06-22,675,2017,108579,2017-06-22
2017-06-23,647,2017,109226,2017-06-23
2017-06-24,606,2017,109832,2017-06-24
2017-06-25,613,2017,110445,2017-06-25
2017-06-26,707,2017,111152,2017-06-26
2017-06-27,698,2017,111850,2017-06-27
2017-06-28,677,2017,112527,2017-06-28
2017-06-29,661,2017,113188,2017-06-29
2017-06-30,616,2017,113804,2017-06-30
2017-07-01,535,2017,114339,2017-07-01
2017-07-02,550,2017,114889,2017-07-02
2017-07-03,703,2017,115592,2017-07-03
2017-07-04,491,2017,116083,2017-07-04
2017-07-05,694,2017,116777,2017-07-05
2017-07-06,695,2017,117472,2017-07-06
2017-07-07,644,2017,118116,2017-07-07
2017-07-08,533,2017,118649,2017-07-08
2017-07-09,582,2017,119231,2017-07-09
2017-07-10,724,2017,119955,2017-07-10
2017-07-11,666,2017,120621,2017-07-11
2017-07-12,676,2017,121297,2017-07-12
2017-07-13,720,2017,122017,2017-07-13
2017-07-14,570,2017,122587,2017-07-14
2017-07-15,579,2017,123166,2017-07-15
2017-07-16,555,2017,123721,2017-07-16
2017-07-17,756,2017,124477,2017-07-17
2017-07-18,647,2017,125124,2017-07-18
2017-07-19,735,2017,125859,2017-07-19
2017-07-20,710,2017,126569,2017-07-20
2017-07-21,658,2017,127227,2017-07-21
2017-07-22,586,2017,127813,2017-07-22
