Var1,Freq,year,cum2018,ymd
2018-01-01,556,2018,556,2018-01-01
2018-01-02,614,2018,1170,2018-01-02
2018-01-03,616,2018,1786,2018-01-03
2018-01-04,644,2018,2430,2018-01-04
2018-01-05,634,2018,3064,2018-01-05
2018-01-06,543,2018,3607,2018-01-06
2018-01-07,537,2018,4144,2018-01-07
2018-01-08,658,2018,4802,2018-01-08
2018-01-09,657,2018,5459,2018-01-09
2018-01-10,562,2018,6021,2018-01-10
2018-01-11,558,2018,6579,2018-01-11
2018-01-12,604,2018,7183,2018-01-12
2018-01-13,572,2018,7755,2018-01-13
2018-01-14,621,2018,8376,2018-01-14
2018-01-15,652,2018,9028,2018-01-15
2018-01-16,674,2018,9702,2018-01-16
2018-01-17,612,2018,10314,2018-01-17
2018-01-18,652,2018,10966,2018-01-18
2018-01-19,661,2018,11627,2018-01-19
2018-01-20,605,2018,12232,2018-01-20
2018-01-21,563,2018,12795,2018-01-21
2018-01-22,699,2018,13494,2018-01-22
2018-01-23,655,2018,14149,2018-01-23
2018-01-24,684,2018,14833,2018-01-24
2018-01-25,625,2018,15458,2018-01-25
2018-01-26,686,2018,16144,2018-01-26
2018-01-27,551,2018,16695,2018-01-27
2018-01-28,558,2018,17253,2018-01-28
2018-01-29,759,2018,18012,2018-01-29
2018-01-30,734,2018,18746,2018-01-30
2018-01-31,695,2018,19441,2018-01-31
2018-02-01,674,2018,20115,2018-02-01
2018-02-02,623,2018,20738,2018-02-02
2018-02-03,582,2018,21320,2018-02-03
2018-02-04,544,2018,21864,2018-02-04
2018-02-05,664,2018,22528,2018-02-05
2018-02-06,662,2018,23190,2018-02-06
2018-02-07,745,2018,23935,2018-02-07
2018-02-08,660,2018,24595,2018-02-08
2018-02-09,669,2018,25264,2018-02-09
2018-02-10,527,2018,25791,2018-02-10
2018-02-11,501,2018,26292,2018-02-11
2018-02-12,660,2018,26952,2018-02-12
2018-02-13,633,2018,27585,2018-02-13
2018-02-14,628,2018,28213,2018-02-14
2018-02-15,650,2018,28863,2018-02-15
2018-02-16,707,2018,29570,2018-02-16
2018-02-17,589,2018,30159,2018-02-17
2018-02-18,554,2018,30713,2018-02-18
2018-02-19,614,2018,31327,2018-02-19
2018-02-20,639,2018,31966,2018-02-20
2018-02-21,680,2018,32646,2018-02-21
2018-02-22,590,2018,33236,2018-02-22
2018-02-23,629,2018,33865,2018-02-23
2018-02-24,507,2018,34372,2018-02-24
2018-02-25,488,2018,34860,2018-02-25
2018-02-26,680,2018,35540,2018-02-26
2018-02-27,648,2018,36188,2018-02-27
2018-02-28,649,2018,36837,2018-02-28
2018-03-01,673,2018,37510,2018-03-01
2018-03-02,579,2018,38089,2018-03-02
2018-03-03,513,2018,38602,2018-03-03
2018-03-04,522,2018,39124,2018-03-04
2018-03-05,654,2018,39778,2018-03-05
2018-03-06,677,2018,40455,2018-03-06
2018-03-07,616,2018,41071,2018-03-07
2018-03-08,655,2018,41726,2018-03-08
2018-03-09,670,2018,42396,2018-03-09
2018-03-10,527,2018,42923,2018-03-10
2018-03-11,523,2018,43446,2018-03-11
2018-03-12,676,2018,44122,2018-03-12
2018-03-13,676,2018,44798,2018-03-13
2018-03-14,616,2018,45414,2018-03-14
2018-03-15,624,2018,46038,2018-03-15
2018-03-16,638,2018,46676,2018-03-16
2018-03-17,468,2018,47144,2018-03-17
2018-03-18,556,2018,47700,2018-03-18
2018-03-19,734,2018,48434,2018-03-19
2018-03-20,605,2018,49039,2018-03-20
2018-03-21,672,2018,49711,2018-03-21
2018-03-22,649,2018,50360,2018-03-22
2018-03-23,641,2018,51001,2018-03-23
2018-03-24,568,2018,51569,2018-03-24
2018-03-25,551,2018,52120,2018-03-25
2018-03-26,675,2018,52795,2018-03-26
2018-03-27,683,2018,53478,2018-03-27
2018-03-28,661,2018,54139,2018-03-28
2018-03-29,709,2018,54848,2018-03-29
2018-03-30,621,2018,55469,2018-03-30
2018-03-31,520,2018,55989,2018-03-31
2018-04-01,477,2018,56466,2018-04-01
2018-04-02,729,2018,57195,2018-04-02
2018-04-03,729,2018,57924,2018-04-03
2018-04-04,684,2018,58608,2018-04-04
2018-04-05,692,2018,59300,2018-04-05
2018-04-06,634,2018,59934,2018-04-06
2018-04-07,589,2018,60523,2018-04-07
2018-04-08,541,2018,61064,2018-04-08
2018-04-09,776,2018,61840,2018-04-09
2018-04-10,695,2018,62535,2018-04-10
2018-04-11,647,2018,63182,2018-04-11
2018-04-12,665,2018,63847,2018-04-12
2018-04-13,658,2018,64505,2018-04-13
2018-04-14,575,2018,65080,2018-04-14
2018-04-15,509,2018,65589,2018-04-15
2018-04-16,703,2018,66292,2018-04-16
2018-04-17,660,2018,66952,2018-04-17
2018-04-18,740,2018,67692,2018-04-18
2018-04-19,653,2018,68345,2018-04-19
2018-04-20,661,2018,69006,2018-04-20
2018-04-21,523,2018,69529,2018-04-21
2018-04-22,608,2018,70137,2018-04-22
2018-04-23,715,2018,70852,2018-04-23
2018-04-24,671,2018,71523,2018-04-24
2018-04-25,664,2018,72187,2018-04-25
2018-04-26,683,2018,72870,2018-04-26
2018-04-27,651,2018,73521,2018-04-27
2018-04-28,558,2018,74079,2018-04-28
2018-04-29,577,2018,74656,2018-04-29
2018-04-30,686,2018,75342,2018-04-30
2018-05-01,739,2018,76081,2018-05-01
2018-05-02,634,2018,76715,2018-05-02
2018-05-03,663,2018,77378,2018-05-03
2018-05-04,661,2018,78039,2018-05-04
2018-05-05,579,2018,78618,2018-05-05
2018-05-06,557,2018,79175,2018-05-06
2018-05-07,751,2018,79926,2018-05-07
2018-05-08,633,2018,80559,2018-05-08
2018-05-09,634,2018,81193,2018-05-09
2018-05-10,684,2018,81877,2018-05-10
2018-05-11,626,2018,82503,2018-05-11
2018-05-12,551,2018,83054,2018-05-12
2018-05-13,584,2018,83638,2018-05-13
2018-05-14,689,2018,84327,2018-05-14
2018-05-15,702,2018,85029,2018-05-15
2018-05-16,610,2018,85639,2018-05-16
2018-05-17,664,2018,86303,2018-05-17
2018-05-18,679,2018,86982,2018-05-18
2018-05-19,578,2018,87560,2018-05-19
2018-05-20,624,2018,88184,2018-05-20
2018-05-21,766,2018,88950,2018-05-21
2018-05-22,700,2018,89650,2018-05-22
2018-05-23,667,2018,90317,2018-05-23
2018-05-24,697,2018,91014,2018-05-24
2018-05-25,693,2018,91707,2018-05-25
2018-05-26,584,2018,92291,2018-05-26
2018-05-27,593,2018,92884,2018-05-27
2018-05-28,576,2018,93460,2018-05-28
2018-05-29,720,2018,94180,2018-05-29
2018-05-30,716,2018,94896,2018-05-30
2018-05-31,727,2018,95623,2018-05-31
